name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Hand Axe	axe		hax	hax	hax	0		3	1	0	xxx			3	6									100				28		3	0	0	1024	1024			hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9ha	7ha	1	1	
Axe	axe		axe	axe	axe	0		4	1	0	xxx			4	11							1	10	100		32		24		7	0	0	1024	1024			axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9ax	7ax	1	1	
Double Axe	axe		2ax	axe	2ax	0		4	1	0	xxx			5	13							1	10	100		43		24		13	0	0	1024	1024			2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	92a	72a	1	1	
Military Pick	axe		mpi	axe	mpi	0		4	1	0	xxx			7	11							1	-10	100		49	33	26		19	0	0	1024	1024			mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9mp	7mp	1	1	
War Axe	axe		wax	hax	wax	0		4	1	0	xxx			10	18							2		100		67		26		25	0	0	1024	1024			wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9wa	7wa	1	1	
Large Axe	axe		lax	lax	lax	0		4	1	0	xxx						1	6	13			1	-10	100		35		30		6	0	0	1024	1024			lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9la	7la	1	1	
Broad Axe 	axe		bax	lax	bax	0		4	1	0	xxx						1	10	18			1		100		48		35		12	0	0	1024	1024			bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9ba	7ba	1	1	
Battle Axe	axe		btx	btx	btx	0		4	1	0	xxx						1	12	32			1	10	100		54		40		17	0	0	1024	1024			btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	2	0	9bt	7bt	1	1	
Great Axe	axe		gax	btx	gax	0		4	1	0	xxx						1	9	30			2	-10	100		63	39	50		23	0	0	1024	1024			gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9ga	7ga	1	1	
Giant Axe	axe		gix	gix	gix	0		4	1	0	xxx						1	22	45			3	10	100		70		50		27	0	0	1024	1024			gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9gi	7gi	1	1	
Wand	wand		wnd	wnd	wnd	0		1	1	0	xxx			2	4									100				15		2	0	0	1024	1024	1		wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					0					0	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9wn	7wn	1	1	
Yew Wand	wand		ywn	ywn	ywn	0		1	1	0	xxx			2	8								10	100				15		12	0	0	1024	1024	1		ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					0					0	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9yw	7yw	1	1	
Bone Wand	wand		bwn	bwn	bwn	0		1	1	0	xxx			3	7								-20	100				15		18	0	0	1024	1024	1		bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					0					0	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9bw	7bw	1	1	
Grim Wand	wand		gwn	bwn	gwn	0		1	1	0	xxx			5	11									100				15		26	0	0	1024	1024	1		gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					0					0	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9gw	7gw	1	1	
Club	club		clb	clb	clb	0		1	1	0	xxx			1	6								-10	100				24		1	0	0	1024	1024			clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	2	0	9cl	7cl	1	1	
Scepter	scep		scp	mac	scp	0		2	1	0	xxx			6	11									100		25		50		3	0	0	1024	1024			scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9sc	7sc	1	1	
Grand Scepter	scep		gsc	mac	gsc	0		4	1	0	xxx			8	18							1	10	100		37		60		15	0	0	1024	1024			gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9qs	7qs	1	1	
War Scepter	scep		wsp	whm	wsp	0		4	1	0	xxx			10	17							1	-10	100		55		70		21	0	0	1024	1024			wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9ws	7ws	1	1	
Spiked Club	club		spc	clb	spc	0		3	1	0	xxx			5	8							1		100				36		4	0	0	1024	1024			spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9sp	7sp	1	1	
Mace	mace		mac	mac	mac	0		4	1	0	xxx			3	10									100		27		60		8	0	0	1024	1024			mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9ma	7ma	1	1	
